Question No.,Name,Title Link,Basic Idea
973,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,"1. Sort and get 0-K, O(nlogn) and O(1)<br>2. Min Heap, O(nlogk) and O(k)"
981,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store/,Get: O(log(n)) time<br>Set: O(1) time
1089,Duplicate Zeros,https://leetcode.com/problems/duplicate-zeros/,"2 Pass, store last position and final move steps, O(n) and O(1)"
1108,Defanging an IP Address,https://leetcode.com/problems/defanging-an-ip-address/,"String manipulate (split, replace and join), O(n) and O(n)"
1189,Maximum Number of Balloons,https://leetcode.com/problems/maximum-number-of-balloons/,"Count letters in `balon`, then find min, O(n) and O(1)"
1260,Shift 2D Grid,https://leetcode.com/problems/shift-2d-grid/,"Final position of each element can be computed according to k, m and n, e.g., k == mn, then don't move, O(mn) and O(mn)"
1290,Convert Binary Number in a Linked List to Integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/,Take 2 to the power digit position from right (starting from 0) and multiply it with the digit
1304,Find N Unique Integers Sum up to Zero,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/,"[1,n-1] and its negative sum"
1310,XOR Queries of a Subarray,https://leetcode.com/problems/xor-queries-of-a-subarray,"Compute accumulated xor from head, qeury result equals to xor[0, l] xor x[0, r], O(n) and O(n)"
1323,Maximum 69 Number,https://leetcode.com/problems/maximum-69-number/,"9 is greater than 6, so change first 6 to 9 from left if exist, O(n) and O(1)"
1337,The K Weakest Rows in a Matrix,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/,"Check by row, from left to right, until encount first zero, O(mn) and O(1)"
1342,Number of Steps to Reduce a Number to Zero,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/,"If number is divisible by 2, divide the number by 2, else subtract 1 from the number, and output the number of steps, O(logn) and O(1)"
1365,How Many Numbers Are Smaller Than the Current Number,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number/,"1. Sort and get position in sorted nums, O(nlogn) and O(n)<br>2. Fill count into 0-100, O(n) and O(1)"
1480,Running Sum of 1d Array,https://leetcode.com/problems/running-sum-of-1d-array/,"1. Go through the array, O(n) and O(1)<br>2. Accumulate API"
1539,Kth Missing Positive Number,https://leetcode.com/problems/kth-missing-positive-number/,"Binary search, num of missing = arr[i]-i-1"
1981,Minimize the Difference Between Target and Chosen Elements,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements/,DP memo[row][sum] to avoid recomputing
2429,Minimize XOR,https://leetcode.com/problems/minimize-xor/,"check the num1, num2 with length and replace ""0"" compare with num1."
